RID ethnicity income
  47591 AA >75000
  47651 CA >75000
  47681 AA <25000
  47691 AA 25000-50000
  47731 AA 25000-50000
  47741 AA 50000-75000
  47771 AA >75000
  47781 CA >75000
  47801 AA <25000
  47821 CA 25000-50000
  48101 CA >75000
  48121 AA 25000-50000
  48141 CA NA
  48201 AA 25000-50000
  48221 CA 50000-75000
  48241 CA 50000-75000
  48251 CA >75000
  48281 AA <25000
  48311 CA >75000
  48441 AA <25000
  48471 CA 50000-75000
  48521 AA 50000-75000
  48671 CA 50000-75000
  48681 AA 50000-75000
  48711 CA NA
  48811 AA >75000
  48821 CA 50000-75000
  48901 CA 50000-75000
  48951 CA NA
  49011 CA 25000-50000
  49061 AA <25000
  49191 AA <25000
  49231 CA >75000
  49261 CA 50000-75000
  49271 CA >75000
  49291 CA <25000
  49301 CA 50000-75000
  49341 CA NA
  49351 AA 50000-75000
  49361 CA >75000
  49381 CA >75000
  49411 AA 50000-75000
  49451 AA <25000
  49491 AA <25000
  49531 AA <25000
  49561 AA 50000-75000
  49601 AA >75000
  49651 AA >75000
  49661 CA 25000-50000
  49671 CA >75000
  49691 CA >75000
  49731 AA <25000
  49801 AA 25000-50000
  49991 AA >75000
  50031 CA >75000
  50061 CA 50000-75000
  50141 CA >75000
  50181 AA <25000
  50221 AA 25000-50000
  50271 CA >75000
  50351 CA 50000-75000
  50431 CA 25000-50000
  50491 AA 50000-75000
  50541 CA >75000
  50561 AA 50000-75000
  50571 CA >75000
  50591 CA >75000
  50601 AA 50000-75000
  50611 CA 50000-75000
  50631 AA 50000-75000
  50651 AA 50000-75000
  50701 CA 50000-75000
  50751 CA >75000
  50801 AA >75000
  50871 AA <25000
  50891 AA 50000-75000
  50921 AA >75000
  50941 CA >75000
  50971 CA >75000
  51031 CA >75000
  51121 CA >75000
  51221 AA 50000-75000
  51231 CA 50000-75000
  51291 CA >75000
  51491 AA >75000
  51521 AA <25000
  51551 AA 50000-75000
  51601 CA 50000-75000
  51621 AA <25000
  51631 AA <25000
  51661 AA >75000
  51691 AA 25000-50000
  51701 CA >75000
  51751 AA <25000
  51781 AA >75000
  51811 CA 50000-75000
  51831 CA 50000-75000
  51901 CA >75000
  51951 AA <25000
  51971 AA 50000-75000
  52031 CA <25000
  52051 AA >75000
  52121 AA <25000
  52131 CA >75000
  52201 AA 25000-50000
  52301 AA 50000-75000
  52331 CA >75000
  52351 CA >75000
  52391 CA 50000-75000
  52421 AA 25000-50000
  52451 AA NA
  52471 AA 25000-50000
  52491 CA >75000
  52571 CA NA
  52631 AA <25000
  52651 AA <25000
  52661 CA >75000
  52851 CA NA
  52951 AA >75000
  52991 AA <25000
  53021 CA >75000
  53051 CA >75000
  53161 CA >75000
  53181 AA <25000
  53221 CA NA
  53311 AA <25000
  53401 CA 50000-75000
  53441 AA 50000-75000
  53451 AA 25000-50000
  53571 CA 50000-75000
  53581 AA 50000-75000
  53611 CA 50000-75000
  53661 AA 50000-75000
  53691 AA 50000-75000
  53711 CA 50000-75000
  53981 CA >75000
  54011 AA 25000-50000
  54031 CA >75000
  54121 CA 50000-75000
  54191 CA 25000-50000
